Country Name,Country Code,2023
Aruba,ABW,106277
Afghanistan,AFG,42239854
Angola,AGO,36684202
Albania,ALB,2745972
Andorra,AND,80088
United Arab Emirates,ARE,9516871
Argentina,ARG,46654581
Armenia,ARM,2777970
American Samoa,ASM,43914
Australia,AUS,26638544
Austria,AUT,9132383
Azerbaijan,AZE,10112555
Burundi,BDI,13238559
Belgium,BEL,11822592
Benin,BEN,13712828
Burkina Faso,BFA,23251485
Bangladesh,BGD,172954319
Bulgaria,BGR,6430370
Bahrain,BHR,1485509
"Bahamas, The",BHS,412623
Bosnia and Herzegovina,BIH,3210847
Belarus,BLR,9178298
Belize,BLZ,410825
Bermuda,BMU,63489
Bolivia,BOL,12388571
Brazil,BRA,216422446
Barbados,BRB,281995
Brunei Darussalam,BRN,452524
Bhutan,BTN,787424
Botswana,BWA,2675352
Canada,CAN,40097761
Switzerland,CHE,8849852
Channel Islands,CHI,175346
Chile,CHL,19629590
China,CHN,1410710000
Cote d'Ivoire,CIV,28873034
Cameroon,CMR,28647293
"Congo, Rep.",COG,6106869
Colombia,COL,52085168
Comoros,COM,852075
Cabo Verde,CPV,598682
Costa Rica,CRI,5212173
Cuba,CUB,11194449
Curacao,CUW,147862
Cayman Islands,CYM,69310
Cyprus,CYP,1260138
Czechia,CZE,10873689
Germany,DEU,84482267
Djibouti,DJI,1136455
Dominica,DMA,73040
Denmark,DNK,5946952
Dominican Republic,DOM,11332972
Algeria,DZA,45606480
Ecuador,ECU,18190484
"Egypt, Arab Rep.",EGY,112716598
Eritrea,ERI,3748901
Spain,ESP,48373336
Estonia,EST,1366188
Ethiopia,ETH,126527060
Finland,FIN,5584264
Fiji,FJI,936375
France,FRA,68170228
Faroe Islands,FRO,53270
"Micronesia, Fed. Sts.",FSM,115224
Gabon,GAB,2436566
United Kingdom,GBR,68350000
Georgia,GEO,3760365
Ghana,GHA,34121985
Gibraltar,GIB,32688
Guinea,GIN,14190612
"Gambia, The",GMB,2773168
Guinea-Bissau,GNB,2150842
Equatorial Guinea,GNQ,1714671
Greece,GRC,10361295
Grenada,GRD,126183
Greenland,GRL,56865
Guatemala,GTM,17602431
Guam,GUM,172952
Guyana,GUY,813834
Honduras,HND,10593798
Croatia,HRV,3853200
Haiti,HTI,11724763
Hungary,HUN,9589872
Indonesia,IDN,277534122
Isle of Man,IMN,84710
India,IND,1428627663
Ireland,IRL,5262382
Iraq,IRQ,45504560
Iceland,ISL,393600
Israel,ISR,9756700
Italy,ITA,58761146
Jamaica,JAM,2825544
Jordan,JOR,11337052
Japan,JPN,124516650
Kazakhstan,KAZ,19900177
Kenya,KEN,55100586
Kyrgyz Republic,KGZ,7100800
Cambodia,KHM,16944826
Kiribati,KIR,133515
St. Kitts and Nevis,KNA,47755
"Korea, Rep.",KOR,51712619
Kuwait,KWT,4310108
Lao PDR,LAO,7633779
Lebanon,LBN,5353930
Liberia,LBR,5418377
Libya,LBY,6888388
St. Lucia,LCA,180251
Liechtenstein,LIE,39584
Sri Lanka,LKA,22037000
Lesotho,LSO,2330318
Lithuania,LTU,2871897
Luxembourg,LUX,668606
Latvia,LVA,1881750
St. Martin (French part),MAF,32077
Morocco,MAR,37840044
Monaco,MCO,36297
Moldova,MDA,2486891
Madagascar,MDG,30325732
Maldives,MDV,521021
Mexico,MEX,128455567
Marshall Islands,MHL,41996
North Macedonia,MKD,1811980
Mali,MLI,23293698
Malta,MLT,553214
Myanmar,MMR,54577997
Montenegro,MNE,616177
Mongolia,MNG,3447157
Northern Mariana Islands,MNP,49796
Mozambique,MOZ,33897354
Mauritania,MRT,4862989
Mauritius,MUS,1261041
Malawi,MWI,20931751
Malaysia,MYS,34308525
Namibia,NAM,2604172
New Caledonia,NCL,267940
Niger,NER,27202843
Nigeria,NGA,223804632
Nicaragua,NIC,7046310
Netherlands,NLD,17879488
Norway,NOR,5519594
Nepal,NPL,30896590
Nauru,NRU,12780
New Zealand,NZL,5223100
Oman,OMN,4644384
Pakistan,PAK,240485658
Panama,PAN,4468087
Peru,PER,34352719
Philippines,PHL,117337368
Palau,PLW,18058
Papua New Guinea,PNG,10329931
Poland,POL,36685849
Puerto Rico,PRI,3205691
"Korea, Dem. People's Rep.",PRK,26160821
Portugal,PRT,10525347
Paraguay,PRY,6861524
West Bank and Gaza,PSE,5165775
French Polynesia,PYF,308872
Qatar,QAT,2716391
Romania,ROU,19056116
Russian Federation,RUS,143826130
Rwanda,RWA,14094683
Saudi Arabia,SAU,36947025
Sudan,SDN,48109006
Senegal,SEN,17763163
Singapore,SGP,5917648
Solomon Islands,SLB,740424
Sierra Leone,SLE,8791092
El Salvador,SLV,6364943
San Marino,SMR,33642
Somalia,SOM,18143378
Serbia,SRB,6618026
South Sudan,SSD,11088796
Sao Tome and Principe,STP,231856
Suriname,SUR,623236
Slovak Republic,SVK,5426740
Slovenia,SVN,2120937
Sweden,SWE,10536632
Eswatini,SWZ,1210822
Sint Maarten (Dutch part),SXM,41163
Seychelles,SYC,119773
Syrian Arab Republic,SYR,23227014
Turks and Caicos Islands,TCA,46062
Chad,TCD,18278568
Togo,TGO,9053799
Thailand,THA,71801279
Tajikistan,TJK,10143543
Turkmenistan,TKM,6516100
Timor-Leste,TLS,1360596
Tonga,TON,107773
Trinidad and Tobago,TTO,1534937
Tunisia,TUN,12458223
Turkiye,TUR,85326000
Tuvalu,TUV,11396
Tanzania,TZA,67438106
Uganda,UGA,48582334
Ukraine,UKR,37000000
Uruguay,URY,3423108
United States,USA,334914895
Uzbekistan,UZB,36412350
St. Vincent and the Grenadines,VCT,103698
"Venezuela, RB",VEN,28838499
British Virgin Islands,VGB,31538
Virgin Islands (U.S.),VIR,104917
Viet Nam,VNM,98858950
Vanuatu,VUT,334506
Samoa,WSM,225681
Kosovo,XKX,1756374
"Yemen, Rep.",YEM,34449825
Zambia,ZMB,20569737
Zimbabwe,ZWE,16665409
